subject,probe,structure,threshold_s,early_area_norm,late_area_norm,incline_norm,incline_ratio,n_intrusions_le_thr,nod_intrusion_off_area
CNPIX4-Doppio,imec1,M2,4,0.01909985935302391,0.07715330520393811,0.058053445850914195,4.039469808541973,23,222.31645569620255
CNPIX4-Doppio,imec1,M2,5,0.01909985935302391,0.0926362517580872,0.0735363924050633,4.850101251840943,30,326.2664556962025
CNPIX4-Doppio,imec1,M2,6,0.01909985935302391,0.0926362517580872,0.0735363924050633,4.850101251840943,31,344.7367088607595
CNPIX4-Doppio,imec1,M2,7,0.01909985935302391,0.09775896624472573,0.07865910689170182,5.118308173784977,34,403.7803797468354
CNPIX4-Doppio,imec1,M2,8,0.01909985935302391,0.10440576652601967,0.08530590717299576,5.466310751104564,37,494.1892405063291
CNPIX4-Doppio,imec1,M2,9,0.026061884669479604,0.11385654008438817,0.08779465541490857,4.3686994063680515,40,582.6056962025316
CNPIX4-Doppio,imec1,M2,10,0.026061884669479604,0.11385654008438817,0.08779465541490857,4.3686994063680515,41,621.0259493670886
CNPIX4-Doppio,imec1,MO,0,0.04429656862745098,0.08260089869281045,0.03830433006535947,1.8647245430568617,0,0.0
CNPIX4-Doppio,imec1,MO,1,0.04429656862745098,0.08260089869281045,0.03830433006535947,1.8647245430568617,0,0.0
CNPIX4-Doppio,imec1,MO,2,0.04429656862745098,0.08260089869281045,0.03830433006535947,1.8647245430568617,1,6.610294117647059
CNPIX4-Doppio,imec1,MO,3,0.04429656862745098,0.08643341503267975,0.042136846405228766,1.9512440288459767,9,61.5
CNPIX4-Doppio,imec1,MO,4,0.04429656862745098,0.09737704248366014,0.053080473856209155,2.1982976447370848,23,192.04558823529408
CNPIX4-Doppio,imec1,MO,5,0.04429656862745098,0.11138071895424838,0.0670841503267974,2.514432210110847,30,285.060294117647
CNPIX4-Doppio,imec1,MO,6,0.04429656862745098,0.11138071895424838,0.0670841503267974,2.514432210110847,31,294.6955882352941
CNPIX4-Doppio,imec1,MO,7,0.04429656862745098,0.1155531045751634,0.07125653594771242,2.6086242830004243,34,342.4
CNPIX4-Doppio,imec1,MO,8,0.04429656862745098,0.12433986928104575,0.08004330065359477,2.806986480753979,37,430.35588235294114
CNPIX4-Doppio,imec1,MO,9,0.050851307189542484,0.1320531045751634,0.08120179738562092,2.596847787667491,40,507.71617647058827
CNPIX4-Doppio,imec1,MO,10,0.050851307189542484,0.1320531045751634,0.08120179738562092,2.596847787667491,41,536.9735294117647
CNPIX4-Doppio,imec1,PrL,0,0.039470185185185185,0.07792814814814815,0.038457962962962965,1.9743547637926424,0,0.0
CNPIX4-Doppio,imec1,PrL,1,0.039470185185185185,0.07792814814814815,0.038457962962962965,1.9743547637926424,0,0.0
CNPIX4-Doppio,imec1,PrL,2,0.039470185185185185,0.07792814814814815,0.038457962962962965,1.9743547637926424,1,6.4446666666666665
CNPIX4-Doppio,imec1,PrL,3,0.039470185185185185,0.08231296296296296,0.04284277777777778,2.0854465864998897,9,66.92333333333333
CNPIX4-Doppio,imec1,PrL,4,0.039470185185185185,0.09489296296296296,0.05542277777777777,2.4041681719441303,23,202.90599999999998
CNPIX4-Doppio,imec1,PrL,5,0.039470185185185185,0.11095444444444445,0.07148425925925928,2.8110951069489865,30,303.4686666666667
CNPIX4-Doppio,imec1,PrL,6,0.039470185185185185,0.11095444444444445,0.07148425925925928,2.8110951069489865,31,318.65600000000006
CNPIX4-Doppio,imec1,PrL,7,0.039470185185185185,0.11537055555555556,0.07590037037037037,2.922979839447497,34,371.1
CNPIX4-Doppio,imec1,PrL,8,0.039470185185185185,0.12425629629629631,0.08478611111111112,3.1481052271053165,37,459.97400000000005
CNPIX4-Doppio,imec1,PrL,9,0.04596851851851852,0.13237296296296297,0.08640444444444445,2.8796438786609193,40,537.0813333333333
CNPIX4-Doppio,imec1,PrL,10,0.04596851851851852,0.13237296296296297,0.08640444444444445,2.8796438786609193,41,569.268
CNPIX6-Eugene,imec0,PPC,0,0.005849999999999998,0.005306746031746033,-0.0005432539682539653,0.907136073802741,0,0.0
CNPIX6-Eugene,imec0,PPC,1,0.005849999999999998,0.005306746031746033,-0.0005432539682539653,0.907136073802741,1,2.672857142857143
CNPIX6-Eugene,imec0,PPC,2,0.005849999999999998,0.005635714285714287,-0.00021428571428571113,0.9633699633699639,15,51.46285714285714
CNPIX6-Eugene,imec0,PPC,3,0.005849999999999998,0.005635714285714287,-0.00021428571428571113,0.9633699633699639,16,57.99285714285715
CNPIX6-Eugene,imec0,PPC,4,0.005849999999999998,0.005635714285714287,-0.00021428571428571113,0.9633699633699639,24,131.97
CNPIX6-Eugene,imec0,PPC,5,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,27,168.79999999999998
CNPIX6-Eugene,imec0,PPC,6,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,29,193.44714285714284
CNPIX6-Eugene,imec0,PPC,7,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,31,229.18571428571434
CNPIX6-Eugene,imec0,PPC,8,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,34,303.9042857142857
CNPIX6-Eugene,imec0,PPC,9,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,37,390.92285714285714
CNPIX6-Eugene,imec0,PPC,10,0.005849999999999998,0.010314285714285715,0.004464285714285717,1.7631257631257637,37,390.92285714285714
CNPIX8-Allan,imec0,Cg1,0,0.01105813953488372,0.023234496124031008,0.012176356589147288,2.1011216263582195,0,0.0
CNPIX8-Allan,imec0,Cg1,1,0.01105813953488372,0.023234496124031008,0.012176356589147288,2.1011216263582195,0,0.0
CNPIX8-Allan,imec0,Cg1,2,0.01105813953488372,0.023875322997416022,0.012817183462532302,2.1590723215328897,2,4.322093023255814
CNPIX8-Allan,imec0,Cg1,3,0.01105813953488372,0.023875322997416022,0.012817183462532302,2.1590723215328897,5,11.036046511627907
CNPIX8-Allan,imec0,Cg1,4,0.01105813953488372,0.02705587855297158,0.01599773901808786,2.446693538964833,8,22.486046511627904
CNPIX8-Allan,imec0,Cg1,5,0.01105813953488372,0.028966085271317832,0.01790794573643411,2.6194356817385214,9,29.362790697674416
CNPIX8-Allan,imec0,Cg1,6,0.01105813953488372,0.03016279069767442,0.019104651162790698,2.727655099894848,12,46.46511627906976
CNPIX8-Allan,imec0,Cg1,7,0.01105813953488372,0.03016279069767442,0.019104651162790698,2.727655099894848,13,53.94767441860464
CNPIX8-Allan,imec0,Cg1,8,0.01105813953488372,0.03016279069767442,0.019104651162790698,2.727655099894848,14,63.33023255813952
CNPIX8-Allan,imec0,Cg1,9,0.01105813953488372,0.03016279069767442,0.019104651162790698,2.727655099894848,16,78.3546511627907
CNPIX8-Allan,imec0,Cg1,10,0.01105813953488372,0.032834948320413435,0.021776808785529712,2.9693013202476926,18,102.63953488372093
CNPIX8-Allan,imec0,IL,0,0.12329493464052288,0.11453513071895426,-0.008759803921568624,0.9289524427981685,0,0.0
CNPIX8-Allan,imec0,IL,1,0.12329493464052288,0.11453513071895426,-0.008759803921568624,0.9289524427981685,0,0.0
CNPIX8-Allan,imec0,IL,2,0.12329493464052288,0.11508946078431374,-0.008205473856209136,0.9334484106736995,2,3.2676470588235293
CNPIX8-Allan,imec0,IL,3,0.12329493464052288,0.11508946078431374,-0.008205473856209136,0.9334484106736995,5,8.638235294117647
CNPIX8-Allan,imec0,IL,4,0.12329493464052288,0.11872957516339872,-0.004565359477124165,0.962972043495259,8,21.74264705882353
CNPIX8-Allan,imec0,IL,5,0.12329493464052288,0.11996813725490198,-0.0033267973856209027,0.9730175664124364,9,26.201470588235296
CNPIX8-Allan,imec0,IL,6,0.12329493464052288,0.1211450163398693,-0.002149918300653586,0.9825628010840683,12,43.841176470588245
CNPIX8-Allan,imec0,IL,7,0.12329493464052288,0.1211450163398693,-0.002149918300653586,0.9825628010840683,13,51.722058823529416
CNPIX8-Allan,imec0,IL,8,0.12329493464052288,0.1211450163398693,-0.002149918300653586,0.9825628010840683,14,59.845588235294116
CNPIX8-Allan,imec0,IL,9,0.12329493464052288,0.1211450163398693,-0.002149918300653586,0.9825628010840683,16,71.12794117647059
CNPIX8-Allan,imec0,IL,10,0.12329493464052288,0.12450367647058824,0.001208741830065363,1.0098036617123773,18,94.89411764705882
CNPIX8-Allan,imec0,M2,0,0.010865640096618358,0.02693961352657005,0.01607397342995169,2.4793397615805706,0,0.0
CNPIX8-Allan,imec0,M2,1,0.010865640096618358,0.02693961352657005,0.01607397342995169,2.4793397615805706,0,0.0
